ip_host,snmp,mac-address,hostname
172.16.0.254,,cc:5d:4e:4e:3f:35,wp11.rud.ua
172.16.0.255,,,
172.16.1.0,,,
172.16.1.1,,,
172.16.1.2,,,
172.16.1.3,,,veeam.rud.ua
172.16.1.4,,,
172.16.1.5,,,
172.16.1.6,,,
172.16.1.7,,,
172.16.1.8,,,wp15.rud.ua
172.16.1.9,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:c0:ee:3c:d5:6e,pr13.rud.ua
172.16.1.10,,00:0c:be:03:11:62,
172.16.1.11,,,
172.16.1.12,,,
172.16.1.13,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:13:a2:6c,
172.16.1.14,,3c:7c:3f:bb:7c:9c,ws73.rud.ua
172.16.1.15,,,
172.16.1.16,,,
172.16.1.17,,,
172.16.1.18,,,
172.16.1.19,,,
172.16.1.20,,,pr11.rud.ua
172.16.1.21,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:5a:2a:df,
172.16.1.22,,f0:2f:74:1a:97:50,ws124.rud.ua
172.16.1.23,,,ws6.rud.ua
172.16.1.24,,f0:2f:74:1a:9b:d7,ws125.rud.ua
172.16.1.25,,e0:3f:49:55:c3:1e,ws10.rud.ua
172.16.1.26,,18:c0:4d:a3:77:9e,ws128.rud.ua
172.16.1.27,,,
172.16.1.28,,e0:3f:49:10:c8:3b,ws8.rud.ua
172.16.1.29,,,ws120.rud.ua
172.16.1.30,,,
172.16.1.31,,04:d4:c4:ed:d9:2a,ws82.rud.ua
172.16.1.32,,,
172.16.1.33,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:82:ca:d6,
172.16.1.34,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:85:2c:90,
172.16.1.35,SNMPv2-MIB::sysDescr.0 = ,00:90:e8:85:2c:6c,
172.16.1.36,,e0:3f:49:83:6b:e3,ws9.rud.ua
172.16.1.37,SNMPv2-MIB::sysDescr.0 = Honeywell PM42;L10.17.019667,00:0d:70:12:3d:29,
172.16.1.38,,,box2.rud.ua
172.16.1.39,,b4:2e:99:36:ee:da,ws79.rud.ua
172.16.1.40,,,
172.16.1.41,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:97:cd:c5,pr15.rud.ua
172.16.1.42,,,morozivo4.rud.ua
172.16.1.43,,,
172.16.1.44,,,
172.16.1.45,,20:cf:30:e8:c2:d1,ws73.rud.ua
172.16.1.46,,,
172.16.1.47,,,
172.16.1.48,,,baza2.rud.ua
172.16.1.49,,,ws19.rud.ua
172.16.1.50,,fc:3f:db:5a:04:7c,WS115
172.16.1.51,,,
172.16.1.52,,e0:3f:49:14:c3:d8,nachgruz.rud.ua
172.16.1.53,,,box3.rud.ua
172.16.1.54,,,box4.rud.ua
172.16.1.55,,d8:50:e6:e8:89:84,ws20.rud.ua
172.16.1.56,,,box5.rud.ua
172.16.1.57,,04:d9:f5:08:de:43,ws92.rud.ua
172.16.1.58,,d8:50:e6:e8:35:d2,ws21.rud.ua
172.16.1.59,,,
172.16.1.60,,d8:50:e6:e8:36:d6,rampa.rud.ua
172.16.1.61,,,cafe3.rud.ua
172.16.1.62,,f0:79:59:96:19:66,ws22.rud.ua
172.16.1.63,,,box6.rud.ua
172.16.1.64,,,ws88.rud.ua
172.16.1.65,SNMPv2-MIB::sysDescr.0 = OKI OkiLAN 8500e Rev.A1.23 10/100BASE Ethernet PrintServer: Attached to MB461 Rev.A1.54 : Copyright (c) 2011 Oki Data Corporation. All rights reserved.,00:25:36:36:b2:c0,MB461-36B2C0
172.16.1.66,SNMPv2-MIB::sysDescr.0 = KYOCERA Document Solutions Printing System,00:17:c8:7b:c3:00,pr16.rud.ua
